sample_id,date,location,observer_name,season,weather_condition,land_use_type,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,air_quality_index,uv_index,visibility_km
ENV_058,2024-08-15,Everglades NP,Grace Kim,Summer,Foggy,Grassland,35.9,43.0,46.5,4.7,131,6.1,17.8
ENV_059,2024-12-18,Olympic NP,Emma Johnson,Winter,Overcast,Grassland,-8.4,29.0,15.4,56.2,40,8.2,47.6
ENV_060,2024-12-06,Olympic NP,James Wilson,Winter,Snowy,Alpine,-11.2,64.8,78.4,59.1,59,3.3,18.7
ENV_061,2024-05-01,Yosemite Valley,Alice Chen,Spring,Heavy Rain,Wetland,17.0,72.3,10.1,21.4,135,1.1,1.6
ENV_062,2024-05-16,Yosemite Valley,Emma Johnson,Spring,Snowy,Desert,13.1,28.6,5.2,40.7,135,0.8,31.8
ENV_063,2024-01-05,Olympic NP,Bob Martinez,Winter,Partly Cloudy,Forest,-12.0,61.9,33.3,45.0,162,8.7,12.1
ENV_064,2024-09-13,Acadia NP,Grace Kim,Autumn,Overcast,Alpine,9.2,66.6,48.8,42.6,199,1.1,38.4
ENV_065,2024-11-07,Everglades NP,Carol Singh,Autumn,Heavy Rain,Forest,6.2,31.7,32.7,11.9,186,6.5,15.3
ENV_066,2024-04-10,Yellowstone NP,Bob Martinez,Spring,Foggy,Grassland,17.0,89.3,63.0,73.3,170,6.5,40.4
ENV_067,2024-04-14,Great Smoky Mountains,Emma Johnson,Spring,Snowy,Grassland,7.0,25.4,13.3,30.2,88,6.5,41.4
ENV_068,2024-05-15,Grand Canyon NP,Emma Johnson,Spring,Heavy Rain,Alpine,7.1,57.0,6.4,72.0,20,9.8,37.0
ENV_069,2024-10-09,Acadia NP,James Wilson,Autumn,Clear,Urban Fringe,2.4,70.4,21.6,24.5,20,8.4,9.6
ENV_070,2024-09-21,Acadia NP,Grace Kim,Autumn,Foggy,Urban Fringe,9.1,56.9,7.3,28.6,99,4.5,16.7
ENV_071,2024-02-28,Yellowstone NP,Emma Johnson,Winter,Foggy,Desert,-11.8,81.0,44.0,32.9,126,1.0,13.4
ENV_072,2024-02-25,Yosemite Valley,Isabel Torres,Winter,Light Rain,Desert,-6.9,24.1,41.5,41.2,169,8.3,31.6
ENV_073,2024-01-07,Olympic NP,Henry Patel,Winter,Foggy,Desert,-9.7,29.1,77.9,10.5,165,8.8,35.8
ENV_074,2024-05-18,Everglades NP,Bob Martinez,Spring,Light Rain,Forest,5.2,68.6,12.3,46.7,193,3.2,35.6
ENV_075,2024-07-27,Yellowstone NP,Isabel Torres,Summer,Partly Cloudy,Desert,29.6,34.3,48.0,23.6,44,9.5,14.5
ENV_076,2024-07-11,Yosemite Valley,Emma Johnson,Summer,Foggy,Wetland,38.7,82.8,46.4,25.4,178,5.4,8.3
ENV_077,2024-09-16,Zion NP,Grace Kim,Autumn,Light Rain,Wetland,7.5,85.2,78.5,51.9,71,6.3,12.4
ENV_078,2024-07-02,Grand Canyon NP,Grace Kim,Summer,Foggy,Urban Fringe,26.4,81.6,78.5,23.6,136,10.6,7.2
ENV_079,2024-10-11,Yellowstone NP,Bob Martinez,Autumn,Heavy Rain,Desert,15.9,21.2,11.5,79.3,177,10.7,4.7
ENV_080,2024-05-11,Rocky Mountain NP,Frank Okafor,Spring,Snowy,Coastal,15.6,84.5,30.4,45.8,91,6.9,44.5
ENV_081,2024-08-28,Everglades NP,Emma Johnson,Summer,Partly Cloudy,Coastal,30.8,26.8,78.3,30.9,172,7.7,5.9
ENV_082,2024-03-23,Glacier NP,Alice Chen,Spring,Overcast,Wetland,10.1,48.1,11.6,12.6,145,4.5,34.4
ENV_083,2024-03-06,Grand Canyon NP,James Wilson,Spring,Foggy,Grassland,8.0,57.3,46.7,64.9,69,5.1,13.4
ENV_084,2024-05-22,Olympic NP,Isabel Torres,Spring,Partly Cloudy,Forest,5.2,53.1,27.6,82.4,160,3.3,48.1
ENV_085,2024-12-09,Grand Canyon NP,Henry Patel,Winter,Clear,Grassland,-5.9,48.6,28.7,24.2,85,10.9,15.5
ENV_086,2024-11-13,Yosemite Valley,James Wilson,Autumn,Foggy,Desert,6.4,82.5,72.2,53.1,68,6.7,18.3
ENV_087,2024-11-07,Great Smoky Mountains,Bob Martinez,Autumn,Foggy,Coastal,11.9,23.0,63.1,62.6,18,6.4,36.9
ENV_088,2024-02-10,Everglades NP,Carol Singh,Winter,Snowy,Alpine,-8.5,85.7,29.3,33.2,138,10.0,41.7
ENV_089,2024-05-27,Olympic NP,Frank Okafor,Spring,Snowy,Forest,21.1,55.1,6.0,97.1,67,9.5,36.5
ENV_090,2024-07-28,Grand Canyon NP,Alice Chen,Summer,Overcast,Alpine,36.1,29.3,29.5,18.3,182,2.9,19.7
ENV_091,2024-11-12,Yosemite Valley,James Wilson,Autumn,Heavy Rain,Wetland,3.7,88.6,17.7,24.9,26,7.0,23.7
ENV_092,2024-12-10,Yosemite Valley,Alice Chen,Winter,Overcast,Desert,-2.0,28.7,18.8,9.3,147,1.5,23.2
ENV_093,2024-11-24,Acadia NP,Carol Singh,Autumn,Light Rain,Coastal,13.1,27.4,39.1,50.9,114,10.3,14.7
ENV_094,2024-12-12,Everglades NP,Frank Okafor,Winter,Clear,Coastal,-10.7,47.6,72.1,35.6,175,3.9,20.5
ENV_095,2024-04-04,Rocky Mountain NP,David Lee,Spring,Foggy,Coastal,21.1,64.8,1.7,84.2,95,2.7,7.2
ENV_096,2024-10-07,Everglades NP,James Wilson,Autumn,Partly Cloudy,Urban Fringe,3.1,85.2,26.3,70.0,47,8.7,30.2
ENV_097,2024-05-28,Zion NP,Emma Johnson,Spring,Snowy,Grassland,21.7,28.2,69.3,98.9,43,0.2,39.7
ENV_098,2024-04-19,Yosemite Valley,Carol Singh,Spring,Foggy,Desert,10.5,59.5,59.7,25.7,131,4.9,18.7
ENV_099,2024-10-04,Acadia NP,Alice Chen,Autumn,Foggy,Urban Fringe,9.2,88.2,52.7,23.8,87,5.0,48.2
ENV_100,2024-01-16,Rocky Mountain NP,Henry Patel,Winter,Foggy,Desert,1.9,25.5,6.5,34.1,165,1.6,7.2
